Category: All categories

Day,European Central Bank: (Worldwide)
2015-10-01,14
2015-10-02,9
2015-10-03,6
2015-10-04,11
2015-10-05,16
2015-10-06,15
2015-10-07,13
2015-10-08,12
2015-10-09,12
2015-10-10,6
2015-10-11,7
2015-10-12,10
2015-10-13,16
2015-10-14,18
2015-10-15,15
2015-10-16,12
2015-10-17,4
2015-10-18,7
2015-10-19,14
2015-10-20,17
2015-10-21,19
2015-10-22,30
2015-10-23,20
2015-10-24,8
2015-10-25,10
2015-10-26,19
2015-10-27,15
2015-10-28,15
2015-10-29,11
2015-10-30,10
2015-10-31,6
2015-11-01,7
2015-11-02,12
2015-11-03,16
2015-11-04,14
2015-11-05,17
2015-11-06,13
2015-11-07,6
2015-11-08,10
2015-11-09,14
2015-11-10,18
2015-11-11,13
2015-11-12,16
2015-11-13,13
2015-11-14,6
2015-11-15,9
2015-11-16,12
2015-11-17,11
2015-11-18,13
2015-11-19,15
2015-11-20,13
2015-11-21,7
2015-11-22,11
2015-11-23,14
2015-11-24,11
2015-11-25,16
2015-11-26,14
2015-11-27,13
2015-11-28,7
2015-11-29,14
2015-11-30,20
2015-12-01,19
2015-12-02,27
2015-12-03,100
2015-12-04,33
2015-12-05,8
2015-12-06,11
2015-12-07,20
2015-12-08,12
2015-12-09,19
2015-12-10,14
2015-12-11,16
2015-12-12,8
2015-12-13,8
2015-12-14,17
2015-12-15,16
2015-12-16,17
2015-12-17,18
2015-12-18,12
2015-12-19,7
2015-12-20,7
2015-12-21,12
2015-12-22,8
2015-12-23,5
2015-12-24,2
2015-12-25,4
2015-12-26,5
2015-12-27,3
2015-12-28,13
2015-12-29,12
2015-12-30,8
2015-12-31,9
