Category: All categories

Day,European Central Bank: (Worldwide)
2013-01-01,24
2013-01-02,41
2013-01-03,44
2013-01-04,37
2013-01-05,25
2013-01-06,34
2013-01-07,38
2013-01-08,42
2013-01-09,54
2013-01-10,100
2013-01-11,48
2013-01-12,15
2013-01-13,24
2013-01-14,35
2013-01-15,43
2013-01-16,39
2013-01-17,40
2013-01-18,42
2013-01-19,19
2013-01-20,17
2013-01-21,31
2013-01-22,46
2013-01-23,38
2013-01-24,32
2013-01-25,45
2013-01-26,16
2013-01-27,22
2013-01-28,53
2013-01-29,42
2013-01-30,32
2013-01-31,37
2013-02-01,26
2013-02-02,24
2013-02-03,31
2013-02-04,44
2013-02-05,52
2013-02-06,49
2013-02-07,74
2013-02-08,47
2013-02-09,20
2013-02-10,20
2013-02-11,33
2013-02-12,42
2013-02-13,33
2013-02-14,48
2013-02-15,31
2013-02-16,21
2013-02-17,28
2013-02-18,36
2013-02-19,33
2013-02-20,38
2013-02-21,35
2013-02-22,30
2013-02-23,20
2013-02-24,21
2013-02-25,43
2013-02-26,54
2013-02-27,49
2013-02-28,40
2013-03-01,33
2013-03-02,18
2013-03-03,18
2013-03-04,43
2013-03-05,38
2013-03-06,48
2013-03-07,76
2013-03-08,30
2013-03-09,17
2013-03-10,17
2013-03-11,37
2013-03-12,38
2013-03-13,33
2013-03-14,47
2013-03-15,37
2013-03-16,17
2013-03-17,29
2013-03-18,40
2013-03-19,66
2013-03-20,53
2013-03-21,54
2013-03-22,31
2013-03-23,15
2013-03-24,29
2013-03-25,28
2013-03-26,46
2013-03-27,33
2013-03-28,44
2013-03-29,35
2013-03-30,27
2013-03-31,23
