Category: All categories

Day,European Central Bank: (Worldwide)
2012-01-01,28
2012-01-02,36
2012-01-03,66
2012-01-04,70
2012-01-05,65
2012-01-06,38
2012-01-07,26
2012-01-08,54
2012-01-09,60
2012-01-10,57
2012-01-11,68
2012-01-12,100
2012-01-13,58
2012-01-14,28
2012-01-15,27
2012-01-16,60
2012-01-17,66
2012-01-18,60
2012-01-19,61
2012-01-20,65
2012-01-21,37
2012-01-22,33
2012-01-23,48
2012-01-24,52
2012-01-25,52
2012-01-26,61
2012-01-27,49
2012-01-28,13
2012-01-29,30
2012-01-30,61
2012-01-31,57
2012-02-01,72
2012-02-02,48
2012-02-03,40
2012-02-04,30
2012-02-05,28
2012-02-06,55
2012-02-07,46
2012-02-08,61
2012-02-09,65
2012-02-10,55
2012-02-11,22
2012-02-12,32
2012-02-13,49
2012-02-14,59
2012-02-15,58
2012-02-16,48
2012-02-17,62
2012-02-18,35
2012-02-19,24
2012-02-20,47
2012-02-21,43
2012-02-22,56
2012-02-23,41
2012-02-24,34
2012-02-25,27
2012-02-26,22
2012-02-27,65
2012-02-28,55
2012-02-29,92
2012-03-01,62
2012-03-02,67
2012-03-03,33
2012-03-04,34
2012-03-05,63
2012-03-06,59
2012-03-07,42
2012-03-08,44
2012-03-09,56
2012-03-10,22
2012-03-11,30
2012-03-12,52
2012-03-13,48
2012-03-14,35
2012-03-15,66
2012-03-16,50
2012-03-17,24
2012-03-18,23
2012-03-19,52
2012-03-20,48
2012-03-21,30
2012-03-22,52
2012-03-23,31
2012-03-24,39
2012-03-25,34
2012-03-26,42
2012-03-27,54
2012-03-28,57
2012-03-29,37
2012-03-30,35
2012-03-31,22
