Category: All categories

Day,European Central Bank: (Germany)
2012-04-01,24
2012-04-02,35
2012-04-03,25
2012-04-04,26
2012-04-05,11
2012-04-06,24
2012-04-07,14
2012-04-08,14
2012-04-09,27
2012-04-10,20
2012-04-11,39
2012-04-12,30
2012-04-13,26
2012-04-14,53
2012-04-15,28
2012-04-16,33
2012-04-17,29
2012-04-18,15
2012-04-19,40
2012-04-20,32
2012-04-21,13
2012-04-22,11
2012-04-23,47
2012-04-24,42
2012-04-25,34
2012-04-26,40
2012-04-27,23
2012-04-28,8
2012-04-29,12
2012-04-30,29
2012-05-01,50
2012-05-02,39
2012-05-03,40
2012-05-04,43
2012-05-05,12
2012-05-06,37
2012-05-07,60
2012-05-08,29
2012-05-09,53
2012-05-10,46
2012-05-11,53
2012-05-12,13
2012-05-13,18
2012-05-14,19
2012-05-15,47
2012-05-16,36
2012-05-17,39
2012-05-18,35
2012-05-19,22
2012-05-20,56
2012-05-21,47
2012-05-22,45
2012-05-23,35
2012-05-24,16
2012-05-25,23
2012-05-26,16
2012-05-27,14
2012-05-28,6
2012-05-29,34
2012-05-30,34
2012-05-31,44
2012-06-01,21
2012-06-02,7
2012-06-03,39
2012-06-04,45
2012-06-05,19
2012-06-06,100
2012-06-07,33
2012-06-08,11
2012-06-09,28
2012-06-10,29
2012-06-11,68
2012-06-12,42
2012-06-13,30
2012-06-14,39
2012-06-15,59
2012-06-16,13
2012-06-17,18
2012-06-18,61
2012-06-19,48
2012-06-20,42
2012-06-21,50
2012-06-22,0
2012-06-23,28
2012-06-24,22
2012-06-25,27
2012-06-26,29
2012-06-27,49
2012-06-28,38
2012-06-29,38
2012-06-30,29
